PermitNo,Lat,Long
*,32.07583333,-81.20027778
001-004D(LI),31.92305556,-82.34833333
001-006D(SL),31.88405167,-82.22754722
001-007P(RM),31.845,-82.375
002-005D(SL),31.34066639,-82.89959194
002-007D(L),31.25436,-82.80074306
002-008P(RM),31.25388889,-82.79861111
002-009D(MSWL),31.319415,-82.96428583
003-002D(SL),31.51968528,-82.43546389
005-004D(SL),32.9988925,-83.22968889
005-005D(SL),32.96774917,-83.27197972
005-015D(L),32.9988925,-83.22968889
005-016D(SL),32.96876306,-83.33781444
005-017D(SL),32.96876306,-83.33781444
006-006D(SL),34.349715,-83.42533028
006-009D(MSWL),34.349715,-83.42533028
007-016D(SL),34.03492222,-83.6261675
007-018D(SL),33.96591056,-83.77283806
007-020D(SL),33.96591056,-83.77283806
007-021D(IN),33.96489167,-83.78443333
008-007D(LI),34.15666667,-84.77416667
008-008D(SL),34.14390944,-84.76293556
008-012D(SL),34.37833056,-84.90899361
008-016D(SL),34.14390944,-84.76293556
008-017P,34.19166667,-84.9
008-018D(LI),34.126675,-84.91071111
008-019D(C&D),34.16968889,-85.00915
008-020D(LI),34.16555556,-84.76972222
009-004D(SL),31.74260444,-83.20566556
009-005D(SL),31.74601583,-83.19379778
009-006P,31.70611111,-83.21472222
010-004D(SL),31.18522083,-83.32437806
010-007D(L),31.19196917,-83.27032278
010-008D(L),31.13025806,-83.23430583
010-009P(RM)(CO),31.12833333,-82.23611111
011-007D(SL),32.82249694,-83.61994944
011-009D(LI),32.76833333,-83.55138889
011-011D(LI),32.80138889,-83.64083333
011-015D(L)(I),32.77916667,-83.62222222
011-017D(SL),32.82249694,-83.61994944
011-018D(L),32.82345833,-83.51756944
011-020D(LI),32.77916667,-83.63
011-022D(LI),32.76833333,-83.55138889
011-023P(INC)I,32.83,-83.73416667
011-025D(LI),32.92972222,-83.70333333
011-026D(SL),32.82345833,-83.51756944
011-027P,32.80944444,-83.6575
011-028D(L)(I),32.77805556,-83.65277778
011-029D(C&D),32.79527778,-83.63972222
011-029D(LI),32.79361111,-83.64194444
011-030D(LI),32.91944444,-83.69833333
011-031D(LI),32.92222222,-83.70277778
012-004D(SL),32.42163194,-83.30952056
013-002D(SL),31.18090556,-82.202275
013-003D(SL),31.24213583,-81.88798861
014-003D(SL),30.75209917,-83.547685
014-004P(INC),30.80611111,-83.50944444
015-004D(SL),32.15327778,-81.50991667
015-005D(L),31.88851722,-81.25916361
015-008D(L),31.88851722,-81.25916361
016-006D(LI),32.51444444,-81.75305556
016-007D(SL),32.48258806,-81.78821917
016-009D(LI),32.52222222,-81.74888889
016-010D(LI),32.52222222,-81.74888889
016-011P(INC),32.48111111,-81.79
016-013P(INC),32.37083333,-81.85277778
017-002D(SL),33.08094056,-81.96482528
017-006D(LI),33.15194444,-81.765
017-007D(LI),33.14944444,-81.76722222
018-004D(SL),33.27514167,-83.96672139
018-008D(MSWL),33.23628139,-84.12280361
019-004D(SL),31.53106667,-84.65055639
020-002D(LI),30.75,-81.54166667
020-007D(L),30.78658056,-81.50655472
020-012D(SL),30.78113917,-81.69010583
020-013D(LI),30.75,-81.54166667
020-014D(L),30.78973361,-81.51021472
020-015D(SI),30.92777778,-81.52
020-016P(INC),30.78444444,-81.7
020-017D(MSWL),30.85909028,-81.85451556
020-018D(LI),30.84833333,-81.86388889
020-019D(C&D),30.84833333,-81.86388889
021-001D(SL),32.45862778,-82.06678417
021-005D(L),32.45862778,-82.06678417
021-006D(MSWL),32.45862778,-82.06678417
022-008D(SL),33.55055278,-85.15219111
022-009D(LI),33.5625,-85.06805556
023-005D(SL),34.88373083,-85.17114139
023-007D(MSWL),34.88345806,-85.1711775
024-003D(SL),30.81011667,-82.01606222
024-004D(L),30.81011667,-82.01606222
024-005D(L),30.50299639,-82.03654639
024-006D(SL),30.70714528,-82.08606417
025-010D(L),32.01217611,-81.08075111
025-016D(LI),32.04444444,-81.1475
025-018D(LI),32.13055556,-81.11888889
025-025D(LI),32.09027778,-81.11444444
025-030D(L),32.14264611,-81.17689611
025-032P(RMI),32.06777778,-81.14
025-035D(LI),32.20694444,-81.16805556
025-038D(L),31.97677639,-81.24959694
025-040D(L),32.0925,-81.31608333
025-041D(LI),32.08388889,-81.32833333
025-041D(LI)(4),32.08416667,-81.32666667
025-045D(SL),32.02999639,-81.27162361
025-046D(L),32.16408306,-81.18615222
025-048D(L),32.02275583,-80.85310361
025-051D(MSWL),32.05666667,-81.21666667
025-051D(SL),32.05817139,-81.2147375
025-053D(LI),32.08305556,-81.17138889
025-056D(L),31.98296056,-81.09022139
025-057D(L),32.08456028,-81.1687825
025-058D(L),32.01768611,-80.9719475
025-059P(INC),32.07666667,-81.02222222
025-061D(LI),32.25083333,-81.15972222
025-063D(L),32.02488083,-81.245225
025-065D(LI),32.09,-81.19055556
025-066D(L),32.08444444,-81.19083333
025-067D(L),32.12222222,-81.12583333
025-068D(L),32.02488083,-81.245225
025-070D(MSWL),32.02999639,-81.27162361
025-071D(LI),32.09722222,-81.18666667
025-072D(L)(I),32.14159722,-81.17872806
026-004D(SL),32.38165722,-84.86643861
026-005D(CLO),32.30527778,-84.72694444
027-006D(SL),34.50546472,-85.29853139
028-007D(L),34.19543306,-84.49535833
028-012D(L),34.08443028,-84.56655139
028-013D(L),34.10339222,-84.50443444
028-014D(SL),34.19338833,-84.51874167
028-015D(SL),34.14811556,-84.47686528
028-017D(SL),34.14811556,-84.47686528
028-030D(L),34.08965194,-84.55906972
028-032D(L),34.13104389,-84.37637778
028-034D(L),34.08965194,-84.55906972
028-039D(SL),34.28519,-84.38857889
028-040D(C&D),34.08965194,-84.55906972
028-040D(L),34.08965194,-84.55906972
028-041D(SL),34.14811556,-84.47686528
028-043D(C&D,34.30916667,-84.41138889
029-004D(SL),33.92481083,-83.26363167
029-009D(L),33.94503111,-83.48861222
029-012D(SL),33.92406806,-83.26550222
030-002D(SL),31.6204425,-85.04094444
030-003D(SL),31.6204425,-85.04094444
031-017D(SL),33.61894056,-84.41848972
031-023D(L),33.60993306,-84.37516694
031-027D(SL),33.43663028,-84.31289972
031-031D(L),33.60993306,-84.37516694
031-035P(INC),33.60861111,-84.32666667
031-037D(SL),33.43663028,-84.31289972
031-039D(C&D),33.61,-84.41
031-040P(MRF),33.64472222,-84.32277778
031-041P,33.63638889,-84.30972222
031-042P(MRF),33.608333,-84.375
031-043P(MRF),33.64472222,-84.32277778
032-004D(SL),31.06473972,-82.76414972
033-031D(LI),33.82277778,-84.64583333
033-037D(L),33.90688528,-84.58197389
033-038D(SL),34.01400444,-84.73457472
033-039D(SL),33.90621972,-84.58164028
033-081D(L),33.82054639,-84.49844556
033-095P(CO),33.9125,-84.57916667
033-096P,34.05833333,-84.65
033-097P,33.82861111,-84.45833333
034-005D(C&D),31.5704175,-82.895745
034-005D(SL),31.5704175,-82.895745
035-002D(SL),31.09094944,-83.8430325
035-014P(RM),31.08333333,-83.84222222
035-015P(INC),31.08333333,-83.84222222
036-006D(L),33.41801139,-82.21145889
036-007D(L),33.40686722,-82.33137278
036-010D(SL),33.48915833,-82.23462389
036-010D(SL)(1),33.48915833,-82.23462389
036-012D(L),33.48404417,-82.12157583
036-014P(INC),33.56666667,-82.08333333
036-015P(INC),33.52305556,-82.26027778
036-017D(C&D),33.52438889,-82.25889917
036-018P(MRF),33.42972222,-82.19333333
036-019P(MRF),32.4296,-82.1926
037-005D(LI),31.11388889,-83.46638889
037-006D(SL),31.09884667,-83.42193444
037-008D(L),31.09884667,-83.42193444
037-009P(INC),31.09166667,-83.42666667
037-010D(MSWL),31.09884667,-83.42193444
037-011D(C&D),31.09722222,-83.43194444
038-003D(LI),33.34694444,-84.81694444
038-007D(SL),33.36725778,-84.85345806
038-011D(LI),33.45166667,-84.89722222
038-014D(I),33.45777778,-84.90055556
038-015D(C&D),33.36325861,-84.86091722
039-005D(SL),32.6994425,-83.96484806
039-006D(SL),32.77620639,-84.00169278
039-007D(IN),32.69944444,-83.96472222
040-004D(SL),31.86730611,-83.74900389
040-006P(RM),31.86666667,-83.755
040-007P(BA),31.86277778,-83.75
040-008D(MSWL),31.86696722,-83.74903083
040-009P(MRF),31.8672,-83.7553
041-004D(SL),34.83429778,-85.55319417
042-002D(SL),34.4400375,-84.11978611
043-003D(LI),30.68388889,-84.49638889
043-004D(L),30.88309889,-84.58708
043-006D(SL),30.8371475,-84.56791833
043-008D(LI),30.68388889,-84.49638889
043-010D(LI),30.73916667,-84.48305556
043-011D(MSWL),30.71055556,-84.40722222
044-017D(SL),33.65671889,-84.25273417
044-029D(L),33.70886667,-84.34644944
044-031D(L),33.88974833,-84.31731444
044-032D(L),33.84109722,-84.19999778
044-033D(L),33.70886667,-84.34644944
044-035D(SL),33.67066333,-84.34279944
044-037D(SL),33.653816,-84.255692
044-039P(SH),33.65833333,-84.25472222
044-040D(L),33.70886667,-84.34644944
044-041D(L),33.73634111,-84.10470194
044-042D(L),33.70886667,-84.34644944
044-044D(L),33.70854306,-84.34642833
044-046D(C&D),33.74884556,-84.09485889
044-047D(MSWL),33.67066333,-84.34279944
044-048D(SL),33.66228944,-84.33639556
044-049D(C&D),33.74627944,-84.09567944
044-050D(SL),33.65644167,-84.25284889
045-005D(SL),32.24750667,-83.12203194
045-006D(L),31.98224361,-83.20636972
045-007D(SL),32.18841028,-83.16105389
045-008D(L)(I),32.1075,-82.97472222
046-001D(SL),32.144615,-83.82299194
046-006D(SL),32.12465389,-83.84496167
047-012D(L),31.5572625,-84.04361917
047-014D(SL),31.53278361,-84.0283525
047-018D(L),31.58872222,-84.11548111
047-022P(RM)(I),31.44166667,-84.12916667
047-023D(C&D),31.565325,-84.04782778
048-007D(SL),33.75913889,-84.81085333
048-009D(SL),33.75738417,-84.81143028
049-002D(SL),31.40058694,-84.929115
049-006D(LI),31.16666667,-85.08777778
049-008D(LI),31.17527778,-85.07833333
049-009D(L)(I),31.16694444,-85.08527778
049-011D(LI),31.17777778,-85.08777778
050-002D(L),30.68491417,-83.06132139
050-003D(L),30.70831583,-83.023775
051-005D(SL),32.30604722,-81.40376611
051-007D(L),32.36273417,-81.32143111
051-008D(LI),32.35611111,-81.16805556
051-009D(LI),32.31944444,-81.19638889
051-010D(LI),32.35444444,-81.20111111
052-002D(SL),34.09631111,-82.79229722
052-006D(SL),34.09631111,-82.79229722
052-008D(SL),34.1349725,-82.78072167
053-002D(SL),32.51312972,-82.33368778
053-003D(L),32.65528417,-82.08673583
054-004D(SL),32.13083889,-81.92347056
054-005D(L),32.13301028,-81.92214417
054-006D(C&D),32.1045681,-81.832789
055-007D(SL),34.89870444,-84.34994333
056-006D(SL),33.43386306,-84.48082528
056-012D(SL),33.48842389,-84.43995861
056-014D(SL),33.43840639,-84.47667806
056-015D(L),33.4386225,-84.47839972
057-009D(SL),34.30654889,-85.27490167
057-013D(SL),34.19471639,-85.21479889
057-016D(LI),35.47833333,-86.33805556
057-017D(LI),34.25361111,-85.32944444
057-019D(LI),34.25222222,-85.34611111
057-020D(MSWL),34.19471639,-85.21479889
057-021D(C&D),34.18833333,-85.21972222
057-022D(LI),34.25,-85.35777778
058-004D(SL),34.20341556,-84.15002222
058-005D(L),34.1434325,-84.25443
058-006D(SL),34.32903083,-84.25726472
058-007D(L),34.13159111,-84.14015528
058-009D(SL),34.32903083,-84.25726472
058-010D(SL),34.32903083,-84.25726472
058-011P(RM),34.125,-84.23333333
058-012D(MSWL),34.32555556,-84.24083333
058-013D(C&D),34.27416667,-84.04916667
059-006D(SL),34.41546,-83.11426417
059-008D(SL),34.34210167,-83.22820778
059-009D(SL),34.41546,-83.11426417
059-010P(RM),34.34194444,-83.22861111
059-012D(C&D),34.36258889,-83.35020556
060-007D(SL),33.96755889,-84.36967972
060-009D(LI),33.79222222,-84.39916667
060-010D(SL),33.81753833,-84.46588444
060-011D(SL),33.66630361,-84.56198222
060-026D(SL),33.79232278,-84.46252556
060-029D(L),33.68157639,-84.37184222
060-036D(LI),33.67,-84.43972222
060-046D(SL),33.73172583,-84.52105472
060-048D(SL),33.69872528,-84.33991417
060-051D(SL),33.78500556,-84.48766444
060-054D(L),34.01369444,-84.26355417
060-057D(L),33.72039,-84.35912806
060-059D(L),34.14102778,-84.27430556
060-062D(SL),33.74570694,-84.44075444
060-064D(SL),33.66938889,-84.56577778
060-066P(RM),33.825,-84.46611111
060-072D(L),34.11436972,-84.38154611
060-075D(L),33.54458917,-84.61216139
060-076P(INC),33.825,-84.46611111
060-082P(DW),32.51638889,-84.53888889
060-083D(SL),33.81769056,-84.46585722
060-084P(RM),33.59277778,-84.55
060-085P(RM),33.69666667,-84.375
060-086P(RM),33.76666667,-84.53333333
060-087D(L)(I),33.82527778,-84.4625
060-088D(C&D),33.54861111,-84.61472222
060-089D(C&D),33.54083333,-84.62805556
060-090P(MRF),33.61305556,-84.52611111
060-091P(MRF),33.71191111,-84.59795
060-092P(MRF),33.76055556,-84.54861111
060-093(P),33.74,-84.56
060-094P(MRF),33.60972222,-84.52666667
061-010D(SL),34.71415861,-84.49071222
062-002D(SL),33.21032472,-82.60817639
063-002D(LI),31.17222222,-81.51611111
063-005D(L),31.08396889,-81.41957694
063-015D(SL),31.25794972,-81.52775222
063-016D(L),31.16886333,-81.39880889
063-017D(L),31.20631472,-81.36821361
063-018D(L),31.18297139,-81.47558444
063-019D(L),31.28850194,-81.46650306
063-022D(L),31.21842444,-81.50778667
063-024D(L),31.25794972,-81.52775222
063-025D(L),31.19698194,-81.50314361
063-027P(MRF),31.18833333,-81.49805556
063-029D(LI),31.13361111,-81.48305556
064-010D(SL),34.52256444,-84.76643972
064-011D(SL),34.49244972,-84.98995
064-014D(L),34.49244972,-84.98995
064-015P(INC),34.43833333,-84.91444444
064-016D(SL),34.51055667,-84.76581111
065-002D(SL),30.88193639,-84.22876361
065-006P(INC),30.82555556,-84.17916667
066-007D(SL),33.61117056,-83.09670722
066-008D(SL),33.61117056,-83.09670722
067-008D(SL),34.12916667,-84.01333333
067-016D(SL),34.12943472,-84.03773139
067-019D(L),34.12666667,-84.00805556
067-021D(SL),33.92390333,-84.05155806
067-024D(SL),33.89722222,-84.18611111
067-025D(SL),33.93479361,-84.2388625
067-027D(SL),33.93479361,-84.2388625
067-030D(SL),34.12607944,-84.01611778
067-032D(SL),34.12138056,-84.03926389
067-037D(SL),33.92390333,-84.05155806
067-038P,34.62138889,-84.63361111
067-039P(MRF),33.91,-84.24694444
067-041P(MRF),33.9375,-84.24361111
068-016D(SL),34.52522417,-83.58973111
068-017D(SL),34.52522417,-83.58973111
068-020D(SL),34.55538111,-83.45889028
069-008D(SL),34.25790278,-83.77580028
069-014D(C&D),34.28227861,-83.80205722
069-015D(MSWL),34.24257417,-83.80076417
069-017D(C&D),34.26666667,-83.78333333
069-019P(CO),34.25416667,-83.77944444
070-002D(SL),33.29928194,-82.984825
071-004D(SL),33.70375889,-85.22537028
071-005D(SL),33.70375889,-85.22537028
071-006D(C&D),33.08275278,-85.22656944
072-003D(SL),32.86460389,-85.15673
072-009D(SL),32.74285917,-84.81124722
073-002D(SL),34.31401472,-82.93939806
073-005D(SL),34.31401472,-82.93939806
074-004D(SL),33.30638417,-85.17426278
074-005D(LI),33.39916667,-85.04638889
